CNPJ_FUNDO;CAPTC_DIA;RESG_DIA
00.017.024/0001-53;0.00;0.00
00.017.024/0001-53;0.00;0.00
00.017.024/0001-53;0.00;0.00
00.017.024/0001-53;0.00;0.00
00.017.024/0001-53;0.00;3122.94
00.068.305/0001-35;0.00;0.00
00.068.305/0001-35;0.00;11153.82
00.068.305/0001-35;0.00;4645.28
00.068.305/0001-35;0.00;1392.54
00.068.305/0001-35;0.00;44605.87
00.071.477/0001-68;2098459041.81;3367847608.00
00.071.477/0001-68;2335150260.46;1932627913.98
00.071.477/0001-68;1902723646.38;2215240419.15
00.071.477/0001-68;1787088277.05;2192535470.77
00.071.477/0001-68;2007067692.98;2908109974.12
00.071.477/0001-68;2096174688.80;2845352924.07
00.073.041/0001-08;0.00;0.00
00.073.041/0001-08;0.00;0.00
00.073.041/0001-08;0.00;0.00
00.073.041/0001-08;0.00;0.00
00.073.041/0001-08;0.00;0.00
00.073.041/0001-08;0.00;0.00
00.083.181/0001-67;0.00;0.00
00.083.181/0001-67;0.00;0.00
00.083.181/0001-67;0.00;0.00
00.083.181/0001-67;0.00;0.00
00.083.181/0001-67;0.00;0.00
00.083.181/0001-67;0.00;0.00
00.089.915/0001-15;0.00;70869.78
00.089.915/0001-15;365638.94;0.00
00.089.915/0001-15;719.13;13346.55
00.089.915/0001-15;187872.05;16.24
00.089.915/0001-15;791857.31;1754.17
00.089.915/0001-15;0.00;14002.60
00.102.322/0001-41;0.00;0.00
00.102.322/0001-41;0.00;0.00
00.102.322/0001-41;0.00;0.00
00.102.322/0001-41;0.00;0.00
00.102.322/0001-41;0.00;0.00
00.180.995/0001-10;9000.00;403284.65
00.180.995/0001-10;6000.00;1803551.24
00.180.995/0001-10;2052.73;708590.97
00.180.995/0001-10;12720.00;394214.83
00.180.995/0001-10;98365.00;1021168.17
00.185.259/0001-54;0.00;0.00
00.185.259/0001-54;0.00;0.00
00.185.259/0001-54;1000.00;0.00
00.185.259/0001-54;0.00;0.00
00.185.259/0001-54;0.00;0.00
00.185.259/0001-54;0.00;518266.13
00.194.256/0001-87;9958000.00;23834884.94
00.194.256/0001-87;23405452.90;2253720.94
00.194.256/0001-87;8384154.86;149903289.51
00.194.256/0001-87;7295084.01;93119997.43
00.194.256/0001-87;2279791.68;80519489.52
00.194.256/0001-87;2815936724.62;18222541.60
00.211.294/0001-09;52766570.00;1168691.21
00.211.294/0001-09;25710000.00;3008.43
00.211.294/0001-09;55300.00;86210926.89
00.211.294/0001-09;19757000.00;68681.85
00.211.294/0001-09;2399500.00;106409269.96
00.222.725/0001-24;68200.00;106371.97
